Тип;Наименование;Форма;Диаметр, мм;Длина, мм;Ширина, мм;Высота, мм;Длина, м;Толщина изоляции, мм;Материал изоляции;T° среды;T° продукта
труба;Труба DN42 №2;;42;;;;340.0;80;Минеральная вата;0;40
труба;Труба DN426 №16;;426;;;;200.8;100;Пенополистирол;-25;80
труба;Труба DN325 №38;;325;;;;128.7;30;Пенополистирол;10;50
труба;Труба DN108 №54;;108;;;;62.1;30;Силикат кальция;10;60
резервуар;Цил. бак №25;Цилиндр;2500;;;6000;;150;Минеральная вата;-10;60
труба;Труба DN27 №47;;27;;;;311.6;60;Силикат кальция;10;90
труба;Труба DN27 №36;;27;;;;204.3;50;Минеральная вата;-20;70
резервуар;Прям. бак №40;Параллелепипед;;5000;1500;4000;;150;Пенополистирол;-20;40
труба;Труба DN21 №53;;21;;;;335.6;80;Пенополиуретан;-30;60
резервуар;Шар. бак №12;Шар;2000;;;;;150;Аэрогель;10;60
резервуар;Цил. бак №27;Цилиндр;1500;;;4000;;120;Пенополистирол;-10;80
резервуар;Шар. бак №37;Шар;1000;;;;;100;Минеральная вата;-10;40
резервуар;Прям. бак №33;Параллелепипед;;6000;4000;3000;;150;Аэрогель;10;40
резервуар;Шар. бак №18;Шар;1000;;;;;50;Аэрогель;-10;60
резервуар;Прям. бак №15;Параллелепипед;;6000;3000;3000;;120;Пенополистирол;10;60
резервуар;Шар. бак №38;Шар;1000;;;;;80;Пеностекло;-10;60
резервуар;Шар. бак №8;Шар;1500;;;;;60;Минеральная вата;-40;80
труба;Труба DN89 №13;;89;;;;85.9;60;Пенополиуретан;10;70
труба;Труба DN108 №57;;108;;;;26.8;50;Пеностекло;-15;60
труба;Труба DN34 №46;;34;;;;339.2;40;Пенополистирол;-30;70
труба;Труба DN133 №25;;133;;;;246.9;30;Пенополиуретан;-15;70
резервуар;Шар. бак №16;Шар;1500;;;;;150;Минеральная вата;-20;80
труба;Труба DN108 №56;;108;;;;255.2;50;Минеральная вата;-30;100
резервуар;Цил. бак №3;Цилиндр;1500;;;4000;;150;Пеностекло;-10;40
труба;Труба DN34 №59;;34;;;;472.8;100;Пеностекло;10;40
труба;Труба DN325 №11;;325;;;;319.7;50;Пеностекло;-10;90
резервуар;Шар. бак №35;Шар;2500;;;;;50;Пенополистирол;-30;80
труба;Труба DN27 №19;;27;;;;431.2;40;Силикат кальция;-25;100
резервуар;Шар. бак №11;Шар;1000;;;;;50;Пенополиуретан;-40;100
резервуар;Шар. бак №2;Шар;1500;;;;;150;Пенополистирол;0;60
резервуар;Цил. бак №5;Цилиндр;1500;;;5000;;80;Минеральная вата;-10;60
резервуар;Цил. бак №34;Цилиндр;3000;;;6000;;60;Пенополиуретан;-10;100
резервуар;Шар. бак №26;Шар;2500;;;;;100;Пенополиуретан;-10;100
труба;Труба DN219 №18;;219;;;;184.2;40;Аэрогель;5;50
труба;Труба DN89 №34;;89;;;;393.4;60;Пеностекло;-30;50
труба;Труба DN76 №12;;76;;;;336.7;100;Силикат кальция;-30;60
труба;Труба DN57 №41;;57;;;;192.6;60;Пенополиуретан;5;80
резервуар;Прям. бак №7;Параллелепипед;;6000;4000;4000;;150;Минеральная вата;-20;80
труба;Труба DN325 №30;;325;;;;64.9;40;Минеральная вата;-10;40
труба;Труба DN34 №50;;34;;;;9.6;80;Аэрогель;-30;50
резервуар;Шар. бак №28;Шар;2500;;;;;80;Силикат кальция;-30;80
резервуар;Прям. бак №39;Параллелепипед;;4000;3000;3000;;80;Пенополиуретан;-30;100
резервуар;Прям. бак №6;Параллелепипед;;3000;4000;3000;;60;Пеностекло;-30;40
труба;Труба DN34 №27;;34;;;;489.1;80;Пеностекло;-25;110
труба;Труба DN42 №1;;42;;;;17.4;50;Пеностекло;-20;60
резервуар;Прям. бак №17;Параллелепипед;;5000;4000;3000;;150;Аэрогель;0;80
труба;Труба DN273 №42;;273;;;;349.8;100;Аэрогель;5;60
резервуар;Прям. бак №19;Параллелепипед;;2000;2000;4000;;100;Силикат кальция;10;80
труба;Труба DN325 №5;;325;;;;296.7;30;Пеностекло;0;90
труба;Труба DN76 №24;;76;;;;80.7;40;Аэрогель;10;40
труба;Труба DN76 №43;;76;;;;151.9;30;Аэрогель;10;40
резервуар;Шар. бак №21;Шар;1500;;;;;150;Минеральная вата;-10;100
труба;Труба DN273 №35;;273;;;;180.4;60;Пенополистирол;-40;50
труба;Труба DN108 №23;;108;;;;486.1;40;Аэрогель;-30;80
резервуар;Цил. бак №29;Цилиндр;2000;;;4000;;120;Пенополиуретан;-30;80
труба;Труба DN325 №58;;325;;;;278.1;60;Аэрогель;-40;50
