Тип;Наименование;Форма;Диаметр, мм;Длина, мм;Ширина, мм;Высота, мм;Длина, м;Толщина изоляции, мм;Материал изоляции;Код материала изоляции;Режим температуры изоляции;T° среды;T° продукта
труба;Труба DN42 №2;;42;;;;340.0;80;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;0;40
труба;Труба DN426 №16;;426;;;;200.8;100;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-25;80
труба;Труба DN325 №38;;325;;;;128.7;30;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;10;50
труба;Труба DN108 №54;;108;;;;62.1;30;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;10;60
резервуар;Цил. бак №25;Цилиндр;2500;;;6000;;150;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;60
труба;Труба DN27 №47;;27;;;;311.6;60;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;10;90
труба;Труба DN27 №36;;27;;;;204.3;50;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-20;70
резервуар;Прям. бак №40;Параллелепипед;;5000;1500;4000;;150;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-20;40
труба;Труба DN21 №53;;21;;;;335.6;80;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;60
резервуар;Шар. бак №12;Шар;2000;;;;;150;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;10;60
резервуар;Цил. бак №27;Цилиндр;1500;;;4000;;120;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;80
резервуар;Шар. бак №37;Шар;1000;;;;;100;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;40
резервуар;Прям. бак №33;Параллелепипед;;6000;4000;3000;;150;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;10;40
резервуар;Шар. бак №18;Шар;1000;;;;;50;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;60
резервуар;Прям. бак №15;Параллелепипед;;6000;3000;3000;;120;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;10;60
резервуар;Шар. бак №38;Шар;1000;;;;;80;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;60
резервуар;Шар. бак №8;Шар;1500;;;;;60;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-40;80
труба;Труба DN89 №13;;89;;;;85.9;60;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;10;70
труба;Труба DN108 №57;;108;;;;26.8;50;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-15;60
труба;Труба DN34 №46;;34;;;;339.2;40;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;70
труба;Труба DN133 №25;;133;;;;246.9;30;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-15;70
резервуар;Шар. бак №16;Шар;1500;;;;;150;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-20;80
труба;Труба DN108 №56;;108;;;;255.2;50;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;100
резервуар;Цил. бак №3;Цилиндр;1500;;;4000;;150;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;40
труба;Труба DN34 №59;;34;;;;472.8;100;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;10;40
труба;Труба DN325 №11;;325;;;;319.7;50;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;90
резервуар;Шар. бак №35;Шар;2500;;;;;50;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;80
труба;Труба DN27 №19;;27;;;;431.2;40;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-25;100
резервуар;Шар. бак №11;Шар;1000;;;;;50;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-40;100
резервуар;Шар. бак №2;Шар;1500;;;;;150;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;0;60
резервуар;Цил. бак №5;Цилиндр;1500;;;5000;;80;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;60
резервуар;Цил. бак №34;Цилиндр;3000;;;6000;;60;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;100
резервуар;Шар. бак №26;Шар;2500;;;;;100;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-10;100
труба;Труба DN219 №18;;219;;;;184.2;40;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;5;50
труба;Труба DN89 №34;;89;;;;393.4;60;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;50
труба;Труба DN76 №12;;76;;;;336.7;100;Плиты минераловатные прошивные;mineral_wool_boards_120;outdoor_winter;-30;60
