38. [POST] http://localhost:8000/api/v1/auth/guest => [201] Created
141. [GET] http://localhost:8000/api/v1/projects/1213e63d-5b03-4816-8149-b35745b26aff/electrical-variants => [200] OK
142. [GET] http://localhost:8000/api/v1/projects/1213e63d-5b03-4816-8149-b35745b26aff/objects/summary => [200] OK
143. [GET] http://localhost:8000/api/v1/projects/1213e63d-5b03-4816-8149-b35745b26aff/objects/query-capabilities?object_type=pipe => [200] OK
144. [GET] http://localhost:8000/api/v1/references/insulation => [200] OK
154. [POST] http://localhost:8000/api/v1/projects/1213e63d-5b03-4816-8149-b35745b26aff/objects/query => [200] OK
158. [GET] http://localhost:8000/api/v1/projects/1213e63d-5b03-4816-8149-b35745b26aff/electrical-readiness => [200] OK
159. [GET] http://localhost:8000/api/v1/projects/1213e63d-5b03-4816-8149-b35745b26aff/objects/summary => [200] OK
164. [GET] http://localhost:8000/api/v1/references/pipe-materials => [200] OK
165. [GET] http://localhost:8000/api/v1/projects/1213e63d-5b03-4816-8149-b35745b26aff/objects => [200] OK
169. [GET] http://localhost:8000/api/v1/references/soil-conductivity => [200] OK
170. [GET] http://localhost:8000/api/v1/references/climate => [200] OK

Note: 158 static requests not shown, run with "static" option to see them.
