[SECTION];metadata
key;value
schema_version;1
name;Мой проект
task_number;
description;
status;draft

[SECTION];objects
type;name;sort_order;params;results;is_valid;validation_errors
pipe;Труба DN42 №1;0;"{""name"": ""Труба DN42 №1"", ""pipe_length"": 17.4, ""outer_diameter"": 0.042, ""ambient_temperature"": -20.0, ""insulation_material"": ""foam_glass"", ""process_temperature"": 60.0, ""insulation_thickness"": 0.05}";"{""total_heat_loss"": 433.04, ""effective_length"": 17.4, ""thermal_resistance"": 3.535929, ""heat_loss_per_meter"": 22.625, ""surface_temperature"": null}";true;
pipe;Труба DN42 №2;1;"{""name"": ""Труба DN42 №2"", ""pipe_length"": 340.0, ""outer_diameter"": 0.042, ""ambient_temperature"": 0.0, ""insulation_material"": ""mineral_wool"", ""process_temperature"": 40.0, ""insulation_thickness"": 0.08}";"{""total_heat_loss"": 2628.851, ""effective_length"": 340.0, ""thermal_resistance"": 5.690698, ""heat_loss_per_meter"": 7.029, ""surface_temperature"": null}";true;
pipe;Труба DN21 №3;2;"{""name"": ""Труба DN21 №3"", ""pipe_length"": 51.4, ""outer_diameter"": 0.021, ""ambient_temperature"": -40.0, ""insulation_material"": ""aerogel"", ""process_temperature"": 120.0, ""insulation_thickness"": 0.04}";"{""total_heat_loss"": 743.034, ""effective_length"": 51.4, ""thermal_resistance"": 12.174948, ""heat_loss_per_meter"": 13.142, ""surface_temperature"": null}";true;
pipe;Труба DN76 №4;3;"{""name"": ""Труба DN76 №4"", ""pipe_length"": 359.4, ""outer_diameter"": 0.076, ""ambient_temperature"": 0.0, ""insulation_material"": ""aerogel"", ""process_temperature"": 70.0, ""insulation_thickness"": 0.1}";"{""total_heat_loss"": 2802.818, ""effective_length"": 359.4, ""thermal_resistance"": 9.873563, ""heat_loss_per_meter"": 7.09, ""surface_temperature"": null}";true;
pipe;Труба DN325 №5;4;"{""name"": ""Труба DN325 №5"", ""pipe_length"": 296.7, ""outer_diameter"": 0.325, ""ambient_temperature"": 0.0, ""insulation_material"": ""foam_glass"", ""process_temperature"": 90.0, ""insulation_thickness"": 0.03}";"{""total_heat_loss"": 54783.961, ""effective_length"": 296.7, ""thermal_resistance"": 0.536166, ""heat_loss_per_meter"": 167.858, ""surface_temperature"": null}";true;
pipe;Труба DN108 №6;5;"{""name"": ""Труба DN108 №6"", ""pipe_length"": 82.0, ""outer_diameter"": 0.108, ""ambient_temperature"": -30.0, ""insulation_material"": ""mineral_wool"", ""process_temperature"": 100.0, ""insulation_thickness"": 0.05}";"{""total_heat_loss"": 4786.214, ""effective_length"": 82.0, ""thermal_resistance"": 2.449953, ""heat_loss_per_meter"": 53.062, ""surface_temperature"": null}";true;
pipe;Труба DN42 №7;6;"{""name"": ""Труба DN42 №7"", ""pipe_length"": 182.7, ""outer_diameter"": 0.042, ""ambient_temperature"": -15.0, ""insulation_material"": ""aerogel"", ""process_temperature"": 40.0, ""insulation_thickness"": 0.05}";"{""total_heat_loss"": 1172.717, ""effective_length"": 182.7, ""thermal_resistance"": 9.425423, ""heat_loss_per_meter"": 5.835, ""surface_temperature"": null}";true;
pipe;Труба DN325 №8;7;"{""name"": ""Труба DN325 №8"", ""pipe_length"": 270.4, ""outer_diameter"": 0.325, ""ambient_temperature"": 10.0, ""insulation_material"": ""mineral_wool"", ""process_temperature"": 80.0, ""insulation_thickness"": 0.06}";"{""total_heat_loss"": 17748.637, ""effective_length"": 270.4, ""thermal_resistance"": 1.173093, ""heat_loss_per_meter"": 59.671, ""surface_temperature"": null}";true;
pipe;Труба DN159 №9;8;"{""name"": ""Труба DN159 №9"", ""pipe_length"": 290.8, ""outer_diameter"": 0.159, ""ambient_temperature"": -40.0, ""insulation_material"": ""mineral_wool"", ""process_temperature"": 70.0, ""insulation_thickness"": 0.1}";"{""total_heat_loss"": 11900.092, ""effective_length"": 290.8, ""thermal_resistance"": 2.956851, ""heat_loss_per_meter"": 37.202, ""surface_temperature"": null}";true;
pipe;Труба DN114 №10;9;"{""name"": ""Труба DN114 №10"", ""pipe_length"": 492.7, ""outer_diameter"": 0.114, ""ambient_temperature"": 0.0, ""insulation_material"": ""mineral_wool"", ""process_temperature"": 80.0, ""insulation_thickness"": 0.04}";"{""total_heat_loss"": 21444.969, ""effective_length"": 492.7, ""thermal_resistance"": 2.021807, ""heat_loss_per_meter"": 39.569, ""surface_temperature"": null}";true;
pipe;Труба DN325 №11;10;"{""name"": ""Труба DN325 №11"", ""pipe_length"": 319.7, ""outer_diameter"": 0.325, ""ambient_temperature"": -10.0, ""insulation_material"": ""foam_glass"", ""process_temperature"": 90.0, ""insulation_thickness"": 0.05}";"{""total_heat_loss"": 43920.545, ""effective_length"": 319.7, ""thermal_resistance"": 0.800696, ""heat_loss_per_meter"": 124.891, ""surface_temperature"": null}";true;
pipe;Труба DN76 №12;11;"{""name"": ""Труба DN76 №12"", ""pipe_length"": 336.7, ""outer_diameter"": 0.076, ""ambient_temperature"": -30.0, ""insulation_material"": ""calcium_silicate"", ""process_temperature"": 60.0, ""insulation_thickness"": 0.1}";"{""total_heat_loss"": 10233.661, ""effective_length"": 336.7, ""thermal_resistance"": 3.257222, ""heat_loss_per_meter"": 27.631, ""surface_temperature"": null}";true;
pipe;Труба DN89 №13;12;"{""name"": ""Труба DN89 №13"", ""pipe_length"": 85.9, ""outer_diameter"": 0.089, ""ambient_temperature"": 10.0, ""insulation_material"": ""polyurethane"", ""process_temperature"": 70.0, ""insulation_thickness"": 0.06}";"{""total_heat_loss"": 1137.565, ""effective_length"": 85.9, ""thermal_resistance"": 4.983803, ""heat_loss_per_meter"": 12.039, ""surface_temperature"": null}";true;
pipe;Труба DN133 №14;13;"{""name"": ""Труба DN133 №14"", ""pipe_length"": 422.2, ""outer_diameter"": 0.133, ""ambient_temperature"": -40.0, ""insulation_material"": ""foam_glass"", ""process_temperature"": 90.0, ""insulation_thickness"": 0.03}";"{""total_heat_loss"": 51872.6, ""effective_length"": 422.2, ""thermal_resistance"": 1.163902, ""heat_loss_per_meter"": 111.693, ""surface_temperature"": null}";true;
pipe;Труба DN219 №15;14;"{""name"": ""Труба DN219 №15"", ""pipe_length"": 137.5, ""outer_diameter"": 0.219, ""ambient_temperature"": -10.0, ""insulation_material"": ""aerogel"", ""process_temperature"": 70.0, ""insulation_thickness"": 0.04}";"{""total_heat_loss"": 4935.55, ""effective_length"": 137.5, ""thermal_resistance"": 2.451601, ""heat_loss_per_meter"": 32.632, ""surface_temperature"": null}";true;
pipe;Труба DN426 №16;15;"{""name"": ""Труба DN426 №16"", ""pipe_length"": 200.8, ""outer_diameter"": 0.426, ""ambient_temperature"": -25.0, ""insulation_material"": ""polystyrene"", ""process_temperature"": 80.0, ""insulation_thickness"": 0.1}";"{""total_heat_loss"": 14005.471, ""effective_length"": 200.8, ""thermal_resistance"": 1.655953, ""heat_loss_per_meter"": 63.408, ""surface_temperature"": null}";true;
pipe;Труба DN48 №17;16;"{""name"": ""Труба DN48 №17"", ""pipe_length"": 127.1, ""outer_diameter"": 0.048, ""ambient_temperature"": -15.0, ""insulation_material"": ""aerogel"", ""process_temperature"": 100.0, ""insulation_thickness"": 0.08}";"{""total_heat_loss"": 1429.803, ""effective_length"": 127.1, ""thermal_resistance"": 11.245011, ""heat_loss_per_meter"": 10.227, ""surface_temperature"": null}";true;
